top - 14:02:00 up 11:58,  1 user,  load average: 0.18, 0.13, 0.13
Tasks: 198 total,   1 running, 197 sleeping,   0 stopped,   0 zombie
%Cpu(s): 12.5 us, 18.8 sy,  0.0 ni, 65.6 id,  0.0 wa,  0.0 hi,  3.1 si,  0.0 st
MiB Mem :   2980.8 total,    698.9 free,    814.7 used,   1467.2 buff/cache
MiB Swap:   1401.6 total,   1401.6 free,      0.0 used.   1953.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1862 kerri     20   0 2599500  27164  22364 S   0.0   0.9   0:00.15 gjs
   1864 kerri     20   0  162676   7392   6720 S   0.0   0.2   0:00.05 at-spi2-registr
   1875 kerri     20   0    2888    956    860 S   0.0   0.0   0:00.00 sh
   1879 kerri     20   0  310376   6756   6168 S   0.0   0.2   0:00.02 gsd-a11y-settin
   1881 kerri     20   0  451164  25772  20140 S   0.0   0.8   0:00.54 gsd-color
   1885 kerri     20   0  375416  16420  14428 S   0.0   0.5   0:00.04 gsd-datetime
   1886 kerri     20   0  312008   7612   6800 S   0.0   0.2   0:01.62 gsd-housekeepin
   1891 kerri     20   0  340564  22536  17668 S   0.0   0.7   0:00.17 gsd-keyboard
   1892 kerri     20   0  864256  27408  21708 S   0.0   0.9   0:00.28 gsd-media-keys
   1893 kerri     20   0  450532  25992  20376 S   0.0   0.9   0:00.34 gsd-power
   1894 kerri     20   0  249868  11508  10052 S   0.0   0.4   0:00.08 gsd-print-notif
   1895 kerri     20   0  457844   6592   5968 S   0.0   0.2   0:00.08 gsd-rfkill
   1896 kerri     20   0  236276   6480   5964 S   0.0   0.2   0:00.02 gsd-screensaver
   1899 kerri     20   0  465900   9940   8804 S   0.0   0.3   0:00.11 gsd-sharing
   1900 kerri     20   0  312252   7932   7056 S   0.0   0.3   0:00.04 gsd-smartcard
   1907 kerri     20   0  319296   9356   8308 S   0.0   0.3   0:00.03 gsd-sound
   1910 kerri     20   0  414992  23008  17736 S   0.0   0.8   0:00.25 gsd-wacom
   1953 kerri     20   0  801976  65616  50900 S   0.0   2.1   0:00.62 evolution-alarm
   1961 kerri     20   0  232260   6440   5368 S   0.0   0.2   0:00.03 gsd-disk-utilit
   1965 kerri     20   0  237300   7360   6748 S   0.0   0.2   0:00.03 ibus-dconf
   1966 kerri     20   0  347216  28332  17624 S   0.0   0.9   0:02.97 ibus-extension-
   1976 kerri     20   0  237252   7680   7048 S   0.0   0.3   0:00.08 ibus-portal
   2017 kerri     20   0  342344  15188  13220 S   0.0   0.5   0:00.06 gsd-printer
   2020 kerri     20   0   20812    384      0 S   0.0   0.0   0:00.00 VBoxClient
   2021 kerri     20   0  153048   2748   2352 S   0.0   0.1   0:00.01 VBoxClient
   2026 kerri     20   0   20812    384      0 S   0.0   0.0   0:00.00 VBoxClient
